epoch,box,cls,obj,Recall,Precision,mAP@50,F1,mAP
148,1.046,1.115,2.423,0.428,0.592,0.462,0.468,0.290
149,1.047,1.110,2.417,0.430,0.587,0.462,0.468,0.290
150,1.039,1.103,2.403,0.430,0.587,0.462,0.468,0.290
151,1.040,1.109,2.412,0.426,0.599,0.462,0.468,0.290
152,1.043,1.107,2.410,0.426,0.593,0.462,0.468,0.289
153,1.042,1.111,2.415,0.428,0.588,0.463,0.469,0.290
154,1.042,1.107,2.409,0.430,0.584,0.463,0.469,0.291
155,1.044,1.109,2.410,0.428,0.591,0.464,0.470,0.291
156,1.034,1.099,2.394,0.430,0.587,0.464,0.470,0.291
157,1.040,1.105,2.404,0.428,0.594,0.464,0.471,0.292
158,1.034,1.102,2.395,0.430,0.588,0.464,0.471,0.292
159,1.039,1.105,2.400,0.429,0.590,0.464,0.471,0.292
160,1.036,1.104,2.397,0.428,0.594,0.464,0.471,0.291
161,1.039,1.106,2.399,0.426,0.593,0.464,0.469,0.292
162,1.039,1.103,2.397,0.428,0.591,0.464,0.470,0.291
163,1.034,1.104,2.394,0.429,0.591,0.464,0.471,0.292
164,1.034,1.099,2.386,0.429,0.594,0.464,0.472,0.292
165,1.031,1.095,2.380,0.429,0.593,0.465,0.472,0.292
166,1.041,1.107,2.398,0.429,0.595,0.464,0.472,0.292
167,1.046,1.106,2.400,0.430,0.595,0.465,0.473,0.292
168,1.036,1.100,2.389,0.429,0.597,0.465,0.473,0.292
169,1.041,1.107,2.397,0.429,0.597,0.465,0.473,0.293
170,1.032,1.097,2.381,0.432,0.589,0.465,0.472,0.293
171,1.033,1.097,2.382,0.430,0.593,0.465,0.472,0.293
172,1.033,1.099,2.384,0.431,0.593,0.466,0.473,0.294
173,1.033,1.097,2.380,0.429,0.597,0.466,0.472,0.294
174,1.030,1.093,2.370,0.427,0.599,0.466,0.472,0.294
175,1.036,1.095,2.379,0.427,0.598,0.466,0.472,0.293
176,1.036,1.099,2.385,0.427,0.597,0.466,0.471,0.294
177,1.031,1.097,2.374,0.425,0.602,0.467,0.472,0.294
178,1.031,1.093,2.371,0.428,0.601,0.467,0.474,0.294
179,1.032,1.092,2.372,0.428,0.603,0.467,0.474,0.294
180,1.035,1.096,2.379,0.432,0.595,0.467,0.473,0.293
181,1.031,1.094,2.370,0.431,0.593,0.467,0.473,0.294
182,1.035,1.099,2.378,0.431,0.597,0.467,0.474,0.294
183,1.030,1.090,2.362,0.433,0.590,0.468,0.474,0.294
184,1.028,1.092,2.367,0.432,0.597,0.468,0.475,0.294
185,1.026,1.087,2.361,0.433,0.596,0.468,0.475,0.294
